date,team1,team2,venue,result,top_scorer,top_score
2026-06-04,England,New Zealand,Lord's,England,Emilio Gay,57
2026-06-07,Sri Lanka,West Indies,Sabina Park,Match abandoned due to rain (with toss),N/A,N/A
2026-06-03,Sri Lanka,West Indies,Sabina Park,Sri Lanka,Pathum Nissanka,79
2026-06-06,Canada,United States of America,Maple Leaf North-West Ground,United States of America,Shehan Jayasuriya,113
2026-06-08,Oman,Malaysia,Singapore National Cricket Ground,Malaysia,Syed Aziz Mubarak,54
2026-06-07,Malaysia,"Hong Kong, China",Singapore National Cricket Ground,"Hong Kong, China",Shahid Wasif,59
2026-06-07,Oman,Nepal,Singapore National Cricket Ground,Nepal,Lokesh Bam,44
2026-06-05,"Hong Kong, China",Oman,Singapore National Cricket Ground,"Hong Kong, China",Anshuman Rath,140
2026-06-05,Bahrain,Singapore,Singapore National Cricket Ground,Bahrain,Mahiyu Bhatia,57
2026-06-04,Nepal,Malaysia,Singapore National Cricket Ground,Nepal,Kushal Bhurtel,126
